Model,ROC-AUC,Accuracy,Precision,Recall,F1-Score,Gini,KS-Statistic
Random Forest,0.5216609392898054,0.6336666666666667,0.034164358264081256,0.4111111111111111,0.06308610400682012,0.043321878579610784,0.0600229095074456
Logistic Regression,0.5139824360442917,0.5616666666666666,0.03208556149732621,0.4666666666666667,0.06004288777698356,0.027964872088583448,0.0807560137457044
Hist Gradient Boosting,0.5014051164566629,0.49066666666666664,0.030065359477124184,0.5111111111111111,0.056790123456790124,0.0028102329133257165,0.04856815578465057
Xgboost,0.49404352806414664,0.036,0.030181086519114688,1.0,0.05859375,-0.011912943871706716,0.05658648339060707
Knn,0.4820714012982054,0.6813333333333333,0.02832244008714597,0.28888888888888886,0.051587301587301584,-0.03585719740358917,0.031042382588774342
